OBJECTID_1,SABL_PWSID,BOUNDARY_TYPE,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,ACTIVITY_STATUS_CD,ACTIVITY_DATE,OWNER_TYPE_CODE,COUNTY,POPULATION,REGULATING_AGENCY,FEDERAL_CLASSIFICATION,STATE_CLASSIFICATION,ADDR_LINE_ONE_TXT,ADDR_LINE_TWO_TXT,ADDRESS_CITY_NAME,ADDRESS_STATE_CODE,ADDRESS_ZIP_CODE,SERVICE_CONNECTIONS,GLOBALID,AC_PHONE_NUMBER,AC_EMAIL,BOUNDARY_FILETYPE,DT_VERIFIED,VERIFIED_STATUS,VERIFIED_NAME,VERIFIED_TYPE,Shape__Area,Shape__Length
1315091,CA4901165,Water Service Area,CA4901165,JEHOVAH S WITNESSES HALL,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,145,A ,1992/12/08 08:00:00+00,P ,SONOMA,650,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,292 Millbrae Avenue, ,SANTA ROSA,CA  ,95407,1,{B790D148-6AA1-4C53-9BDB-5BC2C71D8305},707-695-3785                  ,sspencer@hotmail.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,14097.61839955,509.089411883388
1315092,CA2010800,Water Service Area,CA2010800,CENTRAL CA WOMENS FACILITY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,147,A ,1990/08/03 07:00:00+00,S ,MADERA,2256,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,23370 ROAD 22,P.O. BOX 1501,CHOWCHILLA,CA  ,93610,656,{D30EAE57-75BF-4982-A6F5-52300979E66E},559-665-5531                  ,elias.montoya@cdcr.ca.gov,WBT Tool,,Not Verified,,,4212049.41406235,8184.97997757371
1315094,CA1400504,Water Service Area,CA1400504,BOULDER CREEK TRAILER PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,151,A ,2015/04/30 07:00:00+00,P ,INYO,66,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,LONE PINE,CA  ,93545,20,{7538A398-98C6-4CA8-8375-B6A986ECCA95},760-876-8700                  ,kbhakta@jhkholdingsllc.com,WBT Tool,,Not Verified,,,150883.93833318,1612.20967670653
1315095,CA5410801,Water Service Area,CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,152,A ,1976/01/01 08:00:00+00,S ,TULARE,1281,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,26501 AVENUE 140, ,PORTERVILLE,CA  ,93258,99,{61773025-EBEB-40A6-8D90-6812483FD432},559-782-2900                  ,dennis.haworth@pdc.dds.ca.gov,WBT Tool,,Not Verified,,,1698183.58472399,5894.00024410646
1315096,CA4901143,Water Service Area,CA4901143,SENECA FAMILY OF AGENCIES,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,153,A ,1990/03/06 08:00:00+00,P ,SONOMA,30,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,365 Kuck Lane, ,PETALUMA,CA  ,94952,5,{25C91265-A2FB-4DB6-B35B-6AD9841339BF},510-377-7114                  ,SHANE_PATTERSON@SENECACENTER.ORG,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,22074.70966904,623.960242486546
1315097,CA5400631,Water Service Area,CA5400631,LINNELL FARM LABOR CENTER,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,154,A ,2014/04/28 07:00:00+00,P ,TULARE,694,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,1436-3 N. MARIPOSA AVE., ,VISALIA,CA  ,93292,195,{16453365-97C9-45C7-AE4B-64420A557268},559-627-3700                  ,ken@hatc.net,WBT Tool,,Not Verified,,,447615.389390685,2747.04862127634
1315098,CA3301943,Water Service Area,CA3301943,PLANTATION ON THE LAKE PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,155,A ,1986/03/28 07:00:00+00,P ,RIVERSIDE,889,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,10961 DESERT LAWN DRIVE, ,CALIMESA,CA  ,92320,581,{62CA9735-C050-4207-9636-66C06CD40682},909-795-4503                  ,mgr@plantationonthelake.com,WBT Tool,,Not Verified,,,911455.26368533,3821.91292806598
1315099,CA0707617,Water Service Area,CA0707617,WILDWOOD ACRES RESORT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,156,A ,2016/05/10 07:00:00+00,P ,CONTRA COSTA,28,LPA37 - CONTRA COSTA COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1055 HUNSAKER CANYON RD, ,LAFAYETTE,CA  ,94549,1,{72B5523B-C174-4E61-A2C0-D11E900EF4DF},925-283-2600                  ,accounts@wildwoodacres.com,WBT Tool,,Not Verified,,,14438.2923888,567.262932620431
1315100,CA4901206,Water Service Area,CA4901206,ARMIDA WINERY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,157,A ,1994/01/21 08:00:00+00,P ,SONOMA,40,DISTRICT 25 - MARIN,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2201 Westside Road, ,HEALDSBURG,CA  ,95448,4,{C6D4E591-687F-4DE0-B30A-3627DE5ADAEC},707-490-2560                  ,Scott.loopstra@gmail.com,WBT Tool,2019/09/02 07:00:00+00,Verified,J. Oakley,District / LPA staff member,87747.209317745,1417.65454690449
1315101,CA2702180,Water Service Area,CA2702180,GRAVES SCHOOL WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,158,A ,1995/12/22 08:00:00+00,L ,MONTEREY,56,LPA57 - MONTEREY COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,15 MCFADDEN RD, ,SALINAS,CA  ,93908,1,{037D8787-2E67-420B-9BBA-0D5CC64706C5},831-422-6392                  ,mross@gravesschool.net,WBT Tool,,Not Verified,,,10653.445488335,451.520653559232
1315102,CA3710037,Water Service Area,CA3710037,PADRE DAM MWD,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,159,A ,1976/01/01 08:00:00+00,L ,SAN DIEGO,88963,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,9300 Fanita Parkway, ,SANTEE,CA  ,92071,23277,{77CCB555-0DCF-4E8A-82E5-B13A51C68CC0},619-258-4673                  ,kswanson@padre.org,WBT Tool,,Not Verified,,,268963992.140024,168151.656503482
1315103,CA4810026,Water Service Area,CA4810026,SID - PEABODY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,160,A ,1999/08/30 07:00:00+00,L ,SOLANO,56,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,COMMUNITY,4958 PEABODY RD, ,FAIRFIELD,CA  ,94533,17,{487AD15B-E012-452E-A0E2-EA425E4DAA91},707-455-4009                  ,ckeaten@sidwater.org,WBT Tool,,Not Verified,,,3036913.30989425,9613.89338537206
1315104,CA0202562,Water Service Area,CA0202562,SAND FLAT # 1,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,162,A ,1997/06/03 07:00:00+00,F ,ALPINE,25,LPA32 - ALPINE COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,PINECREST,CA  ,95364,1,{99127BF1-3643-49F9-B5A2-0AAD31573670},209-288-6335                  ,KATHRYN.BAKER@USDA.GOV,WBT Tool,,Not Verified,,,81047.20359652,1176.80949078251
1315106,CA4400710,Water Service Area,CA4400710,CAMP ST FRANCIS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,165,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,57,LPA74 - SANTA CRUZ COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2320 Sumner Ave, ,APTOS,CA  ,95003,16,{D5B81460-521F-48F2-841A-96BCAC42669D},831-441-7144                  ,MHerbers@Hughes.net,WBT Tool,,Not Verified,,,28434.37057033,834.730837589351
1315107,CA2702229,Water Service Area,CA2702229,MANZANITA PARK WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,166,A ,2016/08/01 07:00:00+00,L ,MONTEREY,302,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,17100 Castroville Blvd., ,SALINAS,CA  ,93907,6,{D444E956-F5A6-4CEB-9888-A72703C557A4},831-755-5462                  ,MERKLEN@CO.MONTEREY.CA.US,WBT Tool,,Not Verified,,,2639528.16349425,13824.9087136607
1315108,CA0310005,Water Service Area,CA0310005,PINE GROVE COMM SERV DIST,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,167,A ,1976/01/01 08:00:00+00,L ,AMADOR,1141,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,19840 State Hwy 88, ,PINE GROVE,CA  ,95665,410,{C1AA32D8-4F2E-4B75-9A8B-BBE5BADA48ED},209-296-7188                  ,pgcomser@volcano.net,WBT Tool,,Not Verified,,,29438611.6373524,31884.1363785656
1315109,CA2600547,Water Service Area,CA2600547,CROWLEY LAKE TRAILER PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,168,A ,2016/08/02 07:00:00+00,P ,MONO,230,LPA56 - MONO COUNTY,COMMUNITY,COMMUNITY,515 South Landing Rd., ,CROWLEY LAKE,CA  ,93546,108,{012B458E-4E5B-436D-B722-7DC067205D4E},760-935-4221                  ,crowleylakerv@gmail.com,WBT Tool,,Not Verified,,,29919.79149443,846.772023231145
1315110,CA1210007,Water Service Area,CA1210007,DEL ORO WATER CO-FERNDALE,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,169,A ,1976/01/01 08:00:00+00,P ,HUMBOLDT,2574,DISTRICT 01 - KLAMATH,COMMUNITY,COMMUNITY,DRAWER 5172,"995 EUGENE STREET, FERNDALE CA 95536",CHICO,CA  ,95927,788,{FE6EF313-F599-49B9-8967-E70E387EED97},530-809-3970                  ,management@delorowater.com,WBT Tool,,Not Verified,,,8989724.26418216,17924.2274219443
1315111,CA1400506,Water Service Area,CA1400506,HIGH SIERRA WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,170,A ,2015/04/30 07:00:00+00,P ,INYO,200,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,BISHOP,CA  ,93514,49,{FD834810-6EC4-4CAA-90E8-29672DD10025},530-318-9433                  ,forevermors@gmail.com,WBT Tool,,Not Verified,,,32846.10411457,805.079606412617
1315112,CA1200793,Water Service Area,CA1200793,MOONSTONE BEACH TRINIDAD,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,171,A ,1985/06/21 07:00:00+00,P ,HUMBOLDT,125,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,100 MOONSTONE BEACH RD.,100 MOONSTONE BEACH RD.,TRINIDAD,CA  ,95570,1,{EE86BAE9-F960-4478-8E1F-4414AA277F52},707-616-7102                  ,stacie@moonstone-beach.com,WBT Tool,,Not Verified,,,10503.10460216,461.281182662061
1315113,CA2702679,Water Service Area,CA2702679,AMERICAN LEGION #593 WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,172,A ,2016/08/01 07:00:00+00,P ,MONTEREY,25,LPA57 - MONTEREY COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,8300 Prunedale Road, ,SALINAS,CA  ,93907,2,{A24C8DB1-CEA7-49BD-98FB-429E79B7FBA7},831-737-6113                  ,race_place@juno.com,WBT Tool,,Not Verified,,,23102.47449312,710.961414711384
1315114,CA3310017,Water Service Area,CA3310017,SOUTH MESA WC,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,173,A ,1976/01/01 08:00:00+00,P ,RIVERSIDE,10061,DISTRICT 20 - RIVERSIDE,COMMUNITY,COMMUNITY,391 WEST AVENUE L, ,CALIMESA,CA  ,92320,3030,{5D1CF04F-347E-4CF4-BA21-F227AD288055},909-795-2401                  ,darmstrong@southmesawater.com,WBT Tool,,Not Verified,,,16126935.0231006,20528.3599158881
1315115,CA0810303,Water Service Area,CA0810303,JEDEDIAH SMITH STATE PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,174,A ,1976/01/01 08:00:00+00,S ,DEL NORTE,2208,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,1375 ELK VALLEY RD.,1440 HWY 199,CRESCENT CITY,CA  ,95531,2,{81C1D8C6-49E0-458A-A2AB-8F8174F50865},707-465-7386                  ,john.orozco@parks.ca.gov,WBT Tool,,Not Verified,,,111393228.273567,81247.4741932397
1315116,CA1400037,Water Service Area,CA1400037,FOOTHILL MOBILE HOME PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,175,A ,2015/04/30 07:00:00+00,P ,INYO,54,DISTRICT 27 - MOJAVE,COMMUNITY,COMMUNITY, , ,LONE PINE,CA  ,93545,48,{0CEB89C0-E35C-45B7-9DB7-C17D7F98F4BD},760-876-4120                  ,kevin@lpmhrv.com,WBT Tool,,Not Verified,,,57940.15791494,1247.80100725097
1315117,CA4410001,Water Service Area,CA4410001,BIG BASIN WATER COMPANY,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,176,A ,1979/03/22 07:00:00+00,P ,SANTA CRUZ,1120,DISTRICT 05 - MONTEREY,COMMUNITY,COMMUNITY,16575 JAMISON CREEK ROAD, ,BOULDER CREEK ROAD,CA  ,95006,540,{6DEAF800-BA3C-45DC-ABAF-F7DC569D189D},949-200-6726                  ,jaber@serviam.law,WBT Tool,,Not Verified,,,49274672.1511623,27563.2840452425
1315118,CA3700041,Water Service Area,CA3700041,BARRETT LAKE MH AND RV LLC,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,178,A ,2016/08/02 07:00:00+00,P ,SAN DIEGO,300,DISTRICT 26 - IMPERIAL,COMMUNITY,COMMUNITY,1250 Barrett Lake Rd, ,DULZURA,CA  ,91917,102,{F0B4C348-7421-4A2C-8C0E-1663A2EF840B},619-631-0133                  ,anthonymwindle@yahoo.com,WBT Tool,,Not Verified,,,119771.04906358,1383.00417303899
1315119,CA3910020,Water Service Area,CA3910020,STOCKTON VERDE MOBILE HOME PARK,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,179,A ,1976/01/01 08:00:00+00,P ,SAN JOAQUIN,722,DISTRICT 10 - STOCKTON,COMMUNITY,COMMUNITY,4900 CA-99, ,STOCKTON,CA  ,95212,293,{03BCF679-C3D5-46CF-83E3-297EFA909A3A},209-931-4512                  ,stocktonverdemanager@gmail.com,WBT Tool,,Not Verified,,,495965.178960615,3056.005339737
1315120,CA3900927,Water Service Area,CA3900927,SPRING CREEK ESTATES PWS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,180,A ,2016/08/08 07:00:00+00,L ,SAN JOAQUIN,119,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,16306 S MILGEO RD, ,RIPON,CA  ,95366,36,{4AD13C48-80FC-4FD1-BC34-A106B67FF016},209-468-3090                  ,bguzman@sjgov.org,WBT Tool,,Not Verified,,,90472.02857398,1601.97165412364
1315121,CA3900586,Water Service Area,CA3900586,B&G MOBILE HOME PARK LLC WS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,181,A ,2016/08/08 07:00:00+00,P ,SAN JOAQUIN,50,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,24064 N HWY 99, ,ACAMPO,CA  ,95220,22,{7A81D843-C0FD-499E-93CD-070E2EF40F96},209-368-0433                  ,bgmobilehomepark@gmail.com,WBT Tool,,Not Verified,,,14541.767467315,458.083307984537
1315122,CA1000003,Water Service Area,CA1000003,BEAR CREEK WATER IMPROVEMENT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,182,A ,1979/03/22 07:00:00+00,P ,FRESNO,100,DISTRICT 23 - FRESNO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,HUNTINGTON LAKE AT BEAR C, ,HUNTINGTON LAKE,CA  ,93629,53,{EACCFF28-4666-4841-BF7B-46330714EE8E},559-804-7600                  ,cindyfelts@hotmail.com,WBT Tool,,Not Verified,,,597761.652847975,4369.91097455151
1315124,CA1400088,Water Service Area,CA1400088,DELIGHT'S HOT SPRINGS RESORT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,188,A ,2015/04/30 07:00:00+00,P ,INYO,58,DISTRICT 13 - SAN BERNARDINO,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY, , ,TECOPA,CA  ,92389,72,{50FD67F9-1CE1-479B-9AA7-E6EA202EB0C9},760-852-4343                  ,SpencMcNeal@gmail.com,WBT Tool,,Not Verified,,,243056.325627935,2007.89818926273
1315125,CA5800814,Water Service Area,CA5800814,BULLARD'S BAR REC FAC WTR SYS,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,189,A ,2021/07/28 07:00:00+00,P ,YUBA,2208,LPA88 - YUBA COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,BULLARDS BAR RESERVOIR, ,CAMPTONVILLE,CA  ,95922,12,{F808B956-F678-4847-9012-277E7A1839D4},,bstrawmier@yubawater.org,WBT Tool,,Not Verified,,,6958588.35636142,10600.0172241863
1315126,CA5200534,Water Service Area,CA5200534,PASKENTA COMM. SERVICES DIST.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,190,A ,2001/08/16 07:00:00+00,P ,TEHAMA,237,DISTRICT 21 - VALLEY,COMMUNITY,COMMUNITY,P.O. Box 182, ,PASKENTA,CA  ,96074,72,{84E5BB2B-7D02-477C-B759-2E52FD6B81BF},530-833-5480                  ,paskentawaterdistrict@yahoo.com,WBT Tool,,Not Verified,,,2014883.06025649,7509.85899090626
1315127,CA3010079,Water Service Area,CA3010079,EL TORO WATER DISTRICT,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,191,A ,1976/01/01 08:00:00+00,L ,ORANGE,47911,DISTRICT 08 - SANTA ANA,COMMUNITY,COMMUNITY,24251 LOS ALISOS BOULEVARD, ,LAKE FOREST,CA  ,92630,9524,{72D83202-AD95-435B-BF06-36FFC025FA93},949-837-7050                  ,DCAFFERTY@ETWD.COM,WBT Tool,,Not Verified,,,30002917.2156955,45484.9172138361
1315128,CA4400711,Water Service Area,CA4400711,CAMP CHESEBROUGH,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,192,A ,2015/01/29 08:00:00+00,P ,SANTA CRUZ,155,LPA74 - SANTA CRUZ COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,26005 Highway 9, ,LOS GATOS,CA  ,95030,5,{63D27B82-6777-45F9-92BB-60B3C5038907},408-638-8314                  ,michael.wilson@scouting.org,WBT Tool,,Not Verified,,,1440.076206365,145.890760026759
1315130,CA2300606,Water Service Area,CA2300606,LAKE VIEW MUTUAL WATER CO.,SBUCKNAM,2020/10/20 03:20:27+00,SBUCKNAM,2020/10/20 03:20:27+00,194,A ,2019/09/09 07:00:00+00,P ,MENDOCINO,90,DISTRICT 03 - MENDOCINO,COMMUNITY,COMMUNITY,4950 BLACK BART TRAIL, ,REDWOOD VALLEY,CA  ,95470,29,{E1BF492E-8920-4637-B2E0-DC9027944E21},707-972-1187                  ,ronhoughton123@icloud.com,WBT Tool,,Not Verified,,,2157578.90776451,8264.24417800006
